"","Anno","Mese","Municipio","Incidenti","Feriti","Morti"
"568",2005,9,7,144,188,0
"569",2005,9,8,157,203,4
"570",2005,9,9,183,246,0
"571",2005,10,NA,64,89,0
"572",2005,10,1,193,257,1
"573",2005,10,2,107,162,0
"574",2005,10,3,162,192,1
"575",2005,10,4,123,166,0
"576",2005,10,5,140,195,1
"577",2005,10,6,96,120,0
"578",2005,10,7,163,204,0
"579",2005,10,8,155,201,1
"580",2005,10,9,205,285,3
"581",2005,11,NA,79,124,2
"582",2005,11,1,180,221,1
"583",2005,11,2,89,128,0
"584",2005,11,3,171,234,0
"585",2005,11,4,152,197,0
"586",2005,11,5,133,180,0
"587",2005,11,6,116,147,0
"588",2005,11,7,133,181,1
"589",2005,11,8,225,305,1
"590",2005,11,9,177,237,0
"591",2005,12,NA,62,84,1
"592",2005,12,1,145,202,0
"593",2005,12,2,63,94,0
"594",2005,12,3,130,192,0
"595",2005,12,4,99,137,0
"596",2005,12,5,119,181,0
"597",2005,12,6,92,120,1
"598",2005,12,7,123,156,2
"599",2005,12,8,144,186,2
"600",2005,12,9,142,208,2
"601",2006,1,NA,50,62,1
"602",2006,1,1,183,222,1
"603",2006,1,2,76,103,0
"604",2006,1,3,154,208,0
"605",2006,1,4,102,145,0
"606",2006,1,5,114,160,0
"607",2006,1,6,87,111,0
"608",2006,1,7,136,180,3
"609",2006,1,8,143,197,3
"610",2006,1,9,162,240,0
"611",2006,2,NA,40,52,2
"612",2006,2,1,100,124,2
"613",2006,2,2,63,109,1
"614",2006,2,3,120,154,1
"615",2006,2,4,107,145,2
"616",2006,2,5,88,123,0
"617",2006,2,6,71,88,1
"618",2006,2,7,105,128,3
"619",2006,2,8,116,149,3
"620",2006,2,9,130,177,0
"621",2006,3,NA,79,105,0
"622",2006,3,1,147,193,0
"623",2006,3,2,79,96,0
"624",2006,3,3,163,211,0
"625",2006,3,4,153,205,0
"626",2006,3,5,126,176,1
"627",2006,3,6,86,133,1
"628",2006,3,7,116,152,1
"629",2006,3,8,184,234,1
"630",2006,3,9,163,214,0
"631",2006,4,NA,48,61,1
"632",2006,4,1,163,205,2
"633",2006,4,2,100,137,0
"634",2006,4,3,141,200,0
"635",2006,4,4,108,165,0
"636",2006,4,5,102,139,1
