"","Anno","Mese","Incidenti","Feriti","Morti"
"253",2022,1,521,681,3
"254",2022,2,562,687,0
"255",2022,3,615,755,6
"256",2022,4,648,815,2
"257",2022,5,765,991,2
"258",2022,6,760,953,1
"259",2022,7,645,809,4
"260",2022,8,389,514,5
"261",2022,9,719,898,7
"262",2022,10,758,946,2
"263",2022,11,682,846,5
"264",2022,12,542,680,5
